STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,SOURCE,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72222313899,2019-11-11T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13,52,56,0,,,,87,30.13,FEW:02 31,30,10,54,50,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09311/11/19 00:53:02 METAR KPNS 110653Z 05004KT 10SM FEW031 13/11 A3013 RMK AO2 SLP203 T01330111,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,50,55,0,,,,83,30.1,CLR:00,29.96,10,52,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09011/11/19 01:53:02 METAR KPNS 110753Z 06005KT 10SM CLR 13/10 A3009 RMK AO2 SLP193 T01280100,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,49,55,0,,0.04,8,80,30.09,CLR:00,29.95,10,52,50,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09611/11/19 02:53:02 METAR KPNS 110853Z 05005KT 10SM CLR 13/09 A3008 RMK AO2 SLP189 T01280094 58013,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,49,53,0,,,,86,30.09,CLR:00,29.96,10,51,40,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09011/11/19 03:53:02 METAR KPNS 110953Z 04005KT 10SM CLR 12/09 A3009 RMK AO2 SLP191 T01170094,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,47,54,0,,,,77,30.09,FEW:02 36,29.96,10,50,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09311/11/19 04:53:02 METAR KPNS 111053Z VRB03KT 10SM FEW036 12/08 A3009 RMK AO2 SLP191 T01220083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,50,55,0,,-0.01,1,83,30.1,CLR:00,29.97,10,52,40,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11311/11/19 05:53:02 METAR KPNS 111153Z 04004KT 10SM CLR 13/10 A3010 RMK AO2 SLP193 T01280100 10133 20117 51004 (AB),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,52,57,0,,,,83,30.12,OVC:08 38,29.98,10,54,60,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09811/11/19 06:53:02 METAR KPNS 111253Z 06006KT 10SM OVC038 14/11 A3011 RMK AO2 SLP199 T01390111 (AB),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12,56,60,0,,,,86,30.13,CLR:00,29.99,10,58,80,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09511/11/19 07:53:02 METAR KPNS 111353Z 08006KT 10SM CLR 16/13 A3012 RMK AO2 SLP203 T01560133 (AB),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13,60,67,0,,-0.03,1,79,30.13,FEW:02 55,30,10,63,100,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10411/11/19 08:53:02 METAR KPNS 111453Z 10006KT 10SM FEW055 19/16 A3013 RMK AO2 SLP204 T01940156 51011 (AB),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72222313899,2019-11-11T09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12,64,71,0,,,,79,30.12,CLR:00,29.99,10,67,120,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09511/11/19 09:53:02 METAR KPNS 111553Z 12011KT 10SM CLR 22/18 A3012 RMK AO2 SLP200 T02170178 (AB),FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
